Date,User,Tweet,Tweet_no_http,Translated
2022-07-24 14:59:46+00:00,AtelierDragonJP,"おやすみはやっぱり、ナギさん置いて寝よう😊
これ描いたの、ほとんど１年前か。
コロナ禍ストレスMAXでお絵描き再開して、超久々にナギを描き始めた頃、夜中に描くことが多かったんで、やたらと「もう寝ろよ」って書いてるw
あのタイミングでナギを思い出したのも…辛い境遇でシンクロしたのかも😅 https://t.co/VlBJfP4eZb","おやすみはやっぱり、ナギさん置いて寝よう😊
これ描いたの、ほとんど１年前か。
コロナ禍ストレスMAXでお絵描き再開して、超久々にナギを描き始めた頃、夜中に描くことが多かったんで、やたらと「もう寝ろよ」って書いてるw
あのタイミングでナギを思い出したのも…辛い境遇でシンクロしたのかも😅  ","Good night, let's leave Nagi and go to sleep 😊
I drew this almost a year ago.
When I started drawing Nagi again for the first time in a long time, I often drew in the middle of the night, so I wrote a lot of ""Go to bed now"" w
It was at that moment that I remembered Nagi... Maybe it was a difficult situation to synchronize with 😅"
2022-07-24 14:56:29+00:00,DiscoTeiMeteo,"ココ最近、暑さとコロナと活動(推し活含む)疲れで体調崩してる人多い気がしてる！

地震や火山噴火、大雨関連などの自然災害も原因に入ってるかも？

休める時にちゃんと休んで、日常的に心から笑うタイミング作って、心身ともに健康でいられるる人が1人でも多いといいな…

(深夜の独り言)","ココ最近、暑さとコロナと活動(推し活含む)疲れで体調崩してる人多い気がしてる！

地震や火山噴火、大雨関連などの自然災害も原因に入ってるかも？

休める時にちゃんと休んで、日常的に心から笑うタイミング作って、心身ともに健康でいられるる人が1人でも多いといいな…

(深夜の独り言)","Coco Recently, I feel that there are many people who are out of shape due to the heat, corona and activity (including promotion) fatigue!

Natural disasters such as earthquakes, volcanic eruptions, and heavy rains may also be a factor.

I hope that there are as many people as possible who are able to rest properly when they can rest, create times to laugh heartily on a daily basis, and be healthy both physically and mentally...

(Late night soliloquy)"
2022-07-24 14:54:09+00:00,_hawks_ramu_,"選手の皆さん
前半戦お疲れ様でした。🙇🏻

AS明けのローテは
千賀大関和田？
柊太くんは8月から
火曜日に戻るかな？
8月の日程見たけどみっちり…😔
辛いのは金曜日が移動即試合ってこと😱
暑いし疲れが蓄積して
調整が大変だけど
怪我人コロナが出ませんように🙏 https://t.co/lDv7TQCYNK","選手の皆さん
前半戦お疲れ様でした。🙇🏻

AS明けのローテは
千賀大関和田？
柊太くんは8月から
火曜日に戻るかな？
8月の日程見たけどみっちり…😔
辛いのは金曜日が移動即試合ってこと😱
暑いし疲れが蓄積して
調整が大変だけど
怪我人コロナが出ませんように🙏  ","Players
Thank you for your hard work in the first half. 🙇🏻

Rote after AS
Senga Ozeki Wada?
Hiiragi-kun from August
Are you coming back on Tuesday?
I saw the schedule for August, but it's all right...😔
The hard part is that Friday is a moving match 😱
It's hot and I'm tired
Difficult to adjust
Don't let the injured corona come out 🙏"
2022-07-24 14:53:46+00:00,omochanobox,"濃厚接触者になって、明日までの
約1週間休みなんだけど、
結局コロナには感染してなかったみたいで家でぴんぴんしてたし、
やりたいこと好きな時間にできて
仕事にも行ってないから
めっっっちゃストレスフリー🙆‍♀️🌷","濃厚接触者になって、明日までの
約1週間休みなんだけど、
結局コロナには感染してなかったみたいで家でぴんぴんしてたし、
やりたいこと好きな時間にできて
仕事にも行ってないから
めっっっちゃストレスフリー🙆‍♀️🌷","Become a close contact person and wait until tomorrow
I have about a week off,
After all, I didn't seem to be infected with Corona, so I was fine at home,
I can do what I want when I want
I don't go to work
Very stress free 🙆‍♀️🌷"
2022-07-24 14:52:44+00:00,pochaminami,"コロナの感染者数が増え、濃厚接触者増え、自宅待機の人が増えた事により、職場の人数激減…やば疲れた…
そしてツキイチのあの日が来て撃沈…
週末は可能な限り寝た…
疲れが顔に出てたせいか旦那がケーキを買ってきてくれた☺️
イチバンボシ聴きながら食べてたら、やけに甘さが染み渡って泣いた https://t.co/eoro4T8mAi","コロナの感染者数が増え、濃厚接触者増え、自宅待機の人が増えた事により、職場の人数激減…やば疲れた…
そしてツキイチのあの日が来て撃沈…
週末は可能な限り寝た…
疲れが顔に出てたせいか旦那がケーキを買ってきてくれた☺️
イチバンボシ聴きながら食べてたら、やけに甘さが染み渡って泣いた  ","The number of people infected with Corona has increased, the number of close contacts has increased, and the number of people waiting at home has increased, resulting in a sharp decrease in the number of people at work... I'm so tired...
And then, that lucky day comes and sinks...
I slept as much as I could over the weekend...
My husband bought me a cake because I was tired ☺️
When I ate while listening to Ichibanboshi, the sweetness soaked through and I cried."
2022-07-24 14:52:03+00:00,PTshima_blog,"／ 
おはしま🏝 #おは戦400725jg🌙
＼
長男は、無事コロナでもなく疲れ果てて寝ております！どんなに熱があっても寝顔だけは天使👼
その辛さを本当に変わってやりたい！
それが出来たらどんなに幸せか！

元気は元気で困る時もあるけどね💦笑","／ 
おはしま🏝 #おは戦400725jg🌙
＼
長男は、無事コロナでもなく疲れ果てて寝ております！どんなに熱があっても寝顔だけは天使👼
その辛さを本当に変わってやりたい！
それが出来たらどんなに幸せか！

元気は元気で困る時もあるけどね💦笑","/
Good morning🏝 #Ohasen400725jg🌙
＼
My eldest son is sleeping exhausted, not corona safely! No matter how hot you are, only your sleeping face is an angel👼
I really want to change that spicy!
How happy I would be if I could do that!

I'm fine, but sometimes I'm in trouble 💦 lol"
2022-07-24 14:45:21+00:00,mizutamari_ni_,コロナをはじめとした感染症、戦争などをはじめとした社会情勢が深刻な中、生きてきた境遇で必死に耐えて、よくここまで生きてきた。不安や恐怖は決して減ることなく、この異常なストレス社会で生き抜いていたこと自体自分すごく頑張った。,コロナをはじめとした感染症、戦争などをはじめとした社会情勢が深刻な中、生きてきた境遇で必死に耐えて、よくここまで生きてきた。不安や恐怖は決して減ることなく、この異常なストレス社会で生き抜いていたこと自体自分すごく頑張った。,"In the midst of the seriousness of the social situation, including infectious diseases such as corona and war, I have lived so far, desperately enduring the circumstances in which I have lived. Anxiety and fear never diminished, and I worked really hard to survive in this abnormally stressful society."
2022-07-24 14:35:28+00:00,peach_roco,うー…扁桃腺がまた腫れかかってる気がするな…薬残ってたかな。本当に喉弱すぎて疲れが喉にくる(？)のどうにかならんかね。ｺﾛﾅ喉痛いというけど私通年で喉痛いから…,うー…扁桃腺がまた腫れかかってる気がするな…薬残ってたかな。本当に喉弱すぎて疲れが喉にくる(？)のどうにかならんかね。ｺﾛﾅ喉痛いというけど私通年で喉痛いから…,"Ugh...I feel like my tonsils are swollen again...I wonder if there's medicine left. My throat is really weak and tired (?) I wonder if I can manage it. It's called corona sore throat, but I have a sore throat all year round..."
2022-07-24 14:34:00+00:00,remonsummer,明後日、模擬試験だけど体調が今ひとつで夏バテのだるだる。この状態でやっても頭に入らないので疲れた時はぐっすり寝るか。マスクで肌荒れした部位が夏の汗でこじらせてしまってるし試験前のストレスなのかもう10年以上なかった口内炎ができるし免疫力ダダ下がってるけどコロナ感染の気配は皆無。,明後日、模擬試験だけど体調が今ひとつで夏バテのだるだる。この状態でやっても頭に入らないので疲れた時はぐっすり寝るか。マスクで肌荒れした部位が夏の汗でこじらせてしまってるし試験前のストレスなのかもう10年以上なかった口内炎ができるし免疫力ダダ下がってるけどコロナ感染の気配は皆無。,"The day after tomorrow, I have a mock exam, but I'm not feeling well and I'm exhausted from the summer heat. Even if I do it in this state, I can't get into my head, so when I'm tired, I'll sleep soundly. The areas where the mask has roughened my skin are aggravated by summer sweat, and I have a stomatitis that I haven't had in over 10 years, probably due to the stress before the exam, and my immunity is down, but there is no sign of corona infection."
2022-07-24 14:33:59+00:00,kantaknonta,"念のためPCR検査を受けたビビビ君は陰性。でも娘は鼻水ズビズビ。抗原検査は陰性だから登園可なんだけど、ホントに行ってもいいのか悩む。。

だぁぁぁ〜コロナが怖いとかよりも、この、休む休まないで悩まなきゃいけない事がストレスだな💨","念のためPCR検査を受けたビビビ君は陰性。でも娘は鼻水ズビズビ。抗原検査は陰性だから登園可なんだけど、ホントに行ってもいいのか悩む。。

だぁぁぁ〜コロナが怖いとかよりも、この、休む休まないで悩まなきゃいけない事がストレスだな💨","Bibi-kun, who received the PCR test just in case, is negative. But his daughter has a runny nose. The antigen test is negative, so I can go to kindergarten, but I'm wondering if I should really go. .

Aaaaa~ Rather than being afraid of Corona, I'm stressed that I have to worry about it without taking a break 💨"
